"Time","pessimistic"
2026-03-27 17:23:00.000,NaN
2026-03-27 17:23:03.000,NaN
2026-03-27 17:23:06.000,NaN
2026-03-27 17:23:09.000,NaN
2026-03-27 17:23:12.000,NaN
2026-03-27 17:23:15.000,NaN
2026-03-27 17:23:18.000,NaN
2026-03-27 17:23:21.000,NaN
2026-03-27 17:23:24.000,211 ms
2026-03-27 17:23:27.000,30.3 ms
2026-03-27 17:23:30.000,15.9 ms
2026-03-27 17:23:33.000,1.39 ms
2026-03-27 17:23:36.000,2.04 ms
2026-03-27 17:23:39.000,NaN
2026-03-27 17:23:42.000,NaN
2026-03-27 17:23:45.000,NaN
